carID,Brand_Audi,Brand_BMW,Brand_Ford,Brand_Hyundai,Brand_Mercedes-Benz,Brand_Opel,Brand_Toyota,Brand_Volkswagen,Brand_Škoda,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,model,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,mpg_diff_transmission,car_age,efficiency_ratio,mileage_per_year,first_owner_flag
22856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.07150517695877477,0.043478260869565216,-0.8853503184713377,0.4999999999999999,0.4,1.0,0.0,-1.0062111801242237,-0.3333333333333333,-0.6752876851675252,0.42922435896841293,0.0
45294,-0.7183098591549296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1.4880173200092213,-1.2608695652173914,0.8598726114649689,-0.1250000000000001,-0.5428571428571428,1.0,0.0,0.6956521739130436,0.3333333333333333,0.6174615536765072,1.1888882400279035,0.0
68602,0.6197183098591549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.7408914592709158,-1.0869565217391304,0.29936305732484103,-0.7500000000000001,-0.17142857142857143,0.0,0.0,0.14906832298136635,0.3333333333333333,1.2595955100628,0.35586155841349504,0.0
68442,0.18309859154929578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,2.226683639206567,-1.0869565217391304,0.7579617834394906,0.4999999999999999,-0.6857142857142857,0.5,0.0,0.5962732919254654,1.0,0.0063407294381925055,0.9424278060183663,0.0
58609,-0.5070422535211268,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.3887580310517295,0.0,-0.47770700636942687,-0.2500000000000002,0.7428571428571429,-1.0,0.0,-0.6086956521739133,-0.6666666666666666,0.0,0.044099844596722844,1.0
41397,-0.4084507042253521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.42383906824765205,0.0,-0.31847133757961793,0.4999999999999999,0.5142857142857142,0.0,0.0,-0.18012422360248437,0.0,-0.440152301834545,0.4067240823043755,0.0
1012,-0.6338028169014085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-0.3333333333333333,1.304192685102587,-1.0,0.3821656050955415,0.4999999999999999,0.5142857142857142,0.5,0.0,0.6211180124223602,0.3333333333333333,-0.1495355359173785,0.9839283615625393,0.0
41249,-0.4084507042253521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.8261584259639767,-0.17391304347826086,0.3821656050955415,0.625,-0.7714285714285715,-0.5,0.0,0.6211180124223602,0.0,-0.22327053355090765,2.474646468995936,0.0
51237,-0.49295774647887325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.3220840140725075,-1.2608695652173914,1.471337579617835,0.24999999999999994,-0.22857142857142856,1.0,0.0,1.565217391304348,0.0,0.5205516387021552,0.25667156157866466,0.0
42989,-0.7183098591549296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.6666666666666666,-0.37480580140123687,0.0,0.07006369426751603,0.4999999999999999,0.8571428571428571,0.0,0.0,0.31677018633540377,-0.6666666666666666,-0.2789920952804799,0.10208274428828258,0.0
47388,1.0985915492957747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.6666666666666666,-0.4803696539005102,0.0,-1.0955414012738853,0.4999999999999999,-0.7142857142857143,0.0,0.0,-0.9378881987577635,-0.6666666666666666,-0.7624727149426752,-0.3366212065389499,0.0
852,-0.647887323943662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.1263919654401668,0.0,0.5605095541401278,0.4999999999999999,0.37142857142857144,-1.0,0.0,0.40372670807453415,-0.3333333333333333,-0.07556035913846323,-0.0015692263699737126,1.0
51123,0.2535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.018823482243983603,1.0434782608695652,-0.9554140127388537,0.9999999999999998,1.0,0.5,0.0,-1.0745341614906834,-0.3333333333333333,-0.875126341294566,0.3145438948001311,0.0
24015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.18641060850564806,-1.0,-0.07006369426751603,-0.7500000000000001,0.6857142857142857,0.0,0.0,-0.21118012422360283,0.3333333333333333,0.9670573109825448,-0.2623707467502976,0.0
44441,-0.4084507042253521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.8264891900289669,-1.0869565217391304,0.6560509554140131,0.625,-0.2857142857142857,-1.0,1.0,0.8881987577639754,0.0,-0.11482964940908874,1.0004898292107238,1.0
4216,-0.676056338028169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6262666760216099,0.0,-0.6751592356687901,-0.1250000000000001,-0.7142857142857143,-1.0,0.0,-0.801242236024845,-1.0,-0.21822677149779984,2.139481874829642,1.0
47942,1.0985915492957747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-0.3333333333333333,1.3058364822740531,-1.0869565217391304,0.7579617834394906,0.4999999999999999,-0.7428571428571429,-0.5,0.0,0.9875776397515527,0.3333333333333333,0.0063407294381925055,0.9857611543688817,0.0
30107,-0.014084507042253521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286541911816295,0.043478260869565216,0.6560509554140131,-0.7500000000000001,-0.17142857142857143,-0.5,0.0,0.49689440993788814,0.0,1.5420461850368399,1.0036824360346748,0.0
7145,0.7183098591549296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-0.6666666666666666,1.984123324880474,1.0434782608695652,-0.8853503184713377,1.7499999999999998,0.42857142857142855,0.5,0.0,-0.6149068322981365,0.6666666666666666,-1.0289708460344582,1.1551283893683704,0.0
11866,-0.7746478873239436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.6666666666666666,-0.6963886577995169,0.0,-0.31847133757961793,2.7784473087142145,0.05714285714285714,0.0,0.0,-0.06211180124223602,-0.6666666666666666,-1.0588749214480389,-1.2343564465910308,0.0
4130,0.704225352112676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.27180787619400815,0.0,-0.47770700636942687,-0.2500000000000002,0.7714285714285715,-0.5,0.0,-0.21739130434782608,0.0,0.0,0.1825321364446848,0.0
4371,-0.6619718309859155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.2958534214034418,-1.0,0.5605095541401278,0.4999999999999999,0.8285714285714286,-0.5,0.0,0.40372670807453415,1.0,-0.07556035913846323,0.24485484561096185,0.0
2380,0.704225352112676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1.532279565796991,-1.0,0.29936305732484103,0.4999999999999999,1.0,-1.0,0.0,0.14906832298136635,0.3333333333333333,-0.18388115370758917,1.2382395390084406,1.0
65994,0.6056338028169014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.6002064769617818,0.0,-0.7579617834394906,-0.1250000000000001,-0.4,-1.0,0.0,-0.8819875776397517,-0.6666666666666666,-0.263305394847451,-0.8346409972805368,1.0
61949,0.5492957746478874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.47343363168920205,0.0,-1.0318471337579618,-0.2500000000000002,0.5714285714285714,1.0,0.0,-1.1490683229813663,-0.6666666666666666,-0.32179201898828064,-0.30779637422101935,0.0
18817,0.4084507042253521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05274183363569846,0.0,0.5605095541401278,-0.1250000000000001,-0.9142857142857143,1.0,0.0,0.40372670807453415,0.0,0.4544849923354598,-0.2960632754050502,0.0
62483,-0.5070422535211268,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.2722889875612665,-0.17391304347826086,-0.2547770700636943,-0.2500000000000002,0.2857142857142857,0.0,0.0,-0.3913043478260872,0.3333333333333333,0.1294565593631014,-0.1666184981847992,0.0
22597,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.06276498712024778,0.0,0.29936305732484103,-0.7500000000000001,-0.14285714285714285,-0.5,0.0,0.14906832298136635,-0.3333333333333333,1.2595955100628,0.4101982241216205,0.0
55359,1.5352112676056338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,-0.16496106004871253,-1.2608695652173914,1.9490445859872618,-0.1250000000000001,0.2571428571428571,-1.0,0.0,2.031055900621118,0.0,1.2104188300449987,-0.46154672911319206,1.0
8246,-0.7746478873239436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-0.3333333333333333,0.7223285790175304,-1.0,0.6560509554140131,0.4999999999999999,0.7428571428571429,-1.0,0.0,0.7701863354037269,0.3333333333333333,-0.03593080014975884,0.33516441038089645,1.0
45612,-0.4084507042253521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-0.6666666666666666,0.1464382724092654,-1.0,0.3821656050955415,0.625,-0.37142857142857144,1.0,1.0,0.6211180124223602,0.6666666666666666,-0.22327053355090765,-0.4920851610534058,0.0
