carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,3.0,0.0,123456,21143.201,102312.799,102312.799
430,Audi,Q8,2020.0,Semi-Auto,95204.182,Diesel,145.0,30.7,4.0,1.0,0.0,86995,21071.777,65923.223,65923.223
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,1.0,0.0,91874,45883.906,45990.094,45990.094
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,0.0,0.0,67199,31230.95,35968.051,35968.051
30459,Ford,,2019.0,Automatic,1055.0,Petrol,145.0,22.1,5.0,3.0,0.0,37991,73176.39,-35185.391,35185.391
37836,Mercedes-Benz,C-Class,2018.0,Semi-Auto,3891.0,Petrol,,,3.724,1.0,0.0,19980,55142.09,-35162.09,35162.09
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,1.0,0.0,59740,29237.637,30502.363,30502.363
36265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,30.1,4.0,2.0,0.0,115359,87736.45,27622.547,27622.547
22326,Ford,Focus,2017.0,Manual,,Diesel,,,1.5,3.0,0.0,38015,10878.871,27136.129,27136.129
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,3.0,0.0,71990,45284.617,26705.383,26705.383
36548,Mercedes-Benz,A-Class,2019.0,Automatic,250.0,Petrol,145.0,24.6,4.0,1.0,0.0,126000,101092.03,24907.969,24907.969
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,4.0,0.0,139559,115172.75,24386.25,24386.25
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,3.0,0.0,54995,31596.273,23398.727,23398.727
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,0.0,0.0,140319,117613.414,22705.586,22705.586
38962,Mercedes-Benz,A-Class,2017.0,Automatic,1755.0,Petrol,145.0,24.8,4.0,1.0,0.0,109495,87060.71,22434.289,22434.289
45501,Mercedes-Benz,C-Class,2019.0,Semi-Auto,1282.0,Petrol,,,4.0,0.0,0.0,68399,46139.6,22259.398,22259.398
5404,Audi,Q7,2019.0,Automatic,7999.0,Diesel,145.0,33.2,3.0,1.0,0.0,68000,46525.453,21474.547,21474.547
758,Audi,Q7,2016.0,Automatic,36461.0,Diesel,0.0,,3.0,3.0,0.0,37999,16557.332,21441.668,21441.668
47899,Škoda,Karoq,2019.0,Automatic,2907.0,Petrol,145.0,41.5,1.5,1.0,0.0,22999,43828.793,-20829.793,20829.793
4210,Audi,Q8,2019.0,Semi-Auto,6000.0,Diesel,145.0,32.8,3.0,1.0,0.0,76990,56385.38,20604.621,20604.621
41207,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,145.0,28.0,4.0,0.0,0.0,88995,68802.73,20192.273,20192.273
42575,Mercedes-Benz,A-Class,2018.0,Semi-Auto,3568.0,Petrol,145.0,28.5,1.3,4.0,0.0,20682,40765.797,-20083.797,20083.797
6348,Audi,A5,2020.0,Semi-Auto,2000.0,Diesel,150.0,40.9,3.0,0.0,0.0,59995,40019.184,19975.816,19975.816
39052,Mercedes-Benz,CLA-Class,2020.0,Automatic,3600.0,Petrol,145.0,33.2,2.0,4.0,0.0,54900,35707.934,19192.066,19192.066
50625,Škoda,Karoq,2019.0,Automatic,1470.0,Petrol,150.0,40.9,1.5,1.0,0.0,22990,40977.06,-17987.059,17987.059
3215,Audi,Q7,2019.0,Automatic,5000.0,Diesel,145.0,33.2,3.0,2.0,0.0,66000,48127.906,17872.094,17872.094
74648,Volkswagen,,2020.0,Automatic,5000.0,Diesel,265.0,33.6,3.0,0.0,0.0,34995,52277.97,-17282.969,17282.969
71404,Volkswagen,Touareg,2019.0,Semi-Auto,9950.0,Diesel,150.0,34.0,3.0,1.0,0.0,59990,42833.035,17156.965,17156.965
42477,Mercedes-Benz,C-Class,2019.0,Automatic,,Hybrid,,,2.0,1.0,0.0,43990,26863.77,17126.23,17126.23
40018,Mercedes-Benz,A-Class,2020.0,Semi-Auto,9.0,Petrol,145.0,,2.0,0.0,0.0,48980,31864.357,17115.643,17115.643
11231,BMW,2 Series,2019.0,Manual,3254.0,Diesel,145.0,54.3,1.5,1.0,0.0,34950,18970.549,15979.451,15979.451
45498,Mercedes-Benz,A-Class,2019.0,Automatic,163.0,Petrol,145.0,30.1,4.0,1.0,0.0,97900,82195.375,15704.625,15704.625
39414,Mercedes-Benz,A-Class,2020.0,Semi-Auto,16.0,Petrol,145.0,32.8,2.0,4.0,0.0,49980,34290.62,15689.379,15689.379
38192,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,452.0,Diesel,145.0,,3.0,3.0,0.0,71991,56329.5,15661.5,15661.5
14524,BMW,X5,2018.0,Automatic,19750.0,Diesel,140.0,47.1,3.0,,,47994,32386.229,15607.771,15607.771
44692,Mercedes-Benz,C-Class,2019.0,Automatic,1090.0,Petrol,145.0,44.1,3.724,0.0,0.0,25950,40939.324,-14989.324,14989.324
35948,Mercedes-Benz,X-Class,2019.0,Automatic,500.0,Diesel,260.0,35.8,3.724,3.0,,22495,37457.22,-14962.219,14962.219
34832,Mercedes-Benz,C-Class,2018.0,Semi-Auto,5659.0,Petrol,145.0,40.4,3.724,0.0,0.0,23498,38401.95,-14903.949,14903.949
44539,Mercedes-Benz,C-Class,2019.0,Automatic,649.0,Petrol,,,3.724,,0.0,27999,42834.094,-14835.094,14835.094
41649,Mercedes-Benz,C-Class,2020.0,Semi-Auto,4384.0,Hybrid,,,2.0,3.0,0.0,46800,32110.639,14689.361,14689.361
42180,Mercedes-Benz,A-Class,2020.0,Semi-Auto,1499.0,Petrol,145.0,32.8,2.0,2.0,0.0,48790,34389.324,14400.676,14400.676
35340,Mercedes-Benz,G-Class,2020.0,Automatic,3000.0,Petrol,150.0,21.4,4.0,1.0,0.0,154998,140622.45,14375.547,14375.547
42646,Mercedes-Benz,C-Class,2019.0,Semi-Auto,3398.0,Petrol,145.0,27.2,,2.0,0.0,65000,50761.688,14238.312,14238.312
55432,Toyota,Hilux,2016.0,Manual,52689.0,Diesel,260.0,38.7,2.5,,0.0,29990,16084.707,13905.293,13905.293
30156,Ford,Kuga,2017.0,Manual,13988.0,Diesel,,64.2,1.5,2.0,,29495,15593.163,13901.837,13901.837
39345,Mercedes-Benz,A-Class,2018.0,,12215.0,Petrol,145.0,28.5,1.3,4.0,0.0,19879,33652.195,-13773.195,13773.195
45073,Mercedes-Benz,A-Class,2018.0,Automatic,3695.0,Petrol,145.0,24.8,4.0,4.0,0.0,84500,98269.89,-13769.891,13769.891
11527,BMW,5 Series,2019.0,Semi-Auto,7998.0,Petrol,145.0,50.4,2.0,0.0,0.0,40985,27218.033,13766.967,13766.967
6793,Audi,Q8,2019.0,Automatic,3011.0,Diesel,145.0,32.8,3.0,4.0,0.0,77888,64236.547,13651.453,13651.453
5882,Audi,A6,2020.0,Semi-Auto,2000.0,Diesel,145.0,50.4,2.0,1.0,0.0,52500,38976.547,13523.453,13523.453
13007,BMW,X5,2016.0,Automatic,44316.0,,0.0,,2.0,1.0,0.0,30850,17387.318,13462.682,13462.682
42562,Mercedes-Benz,C-Class,2020.0,Semi-Auto,86705.855,Diesel,,,2.0,3.0,0.0,33980,20584.014,13395.986,13395.986
46477,Mercedes-Benz,C-Class,2016.0,Semi-Auto,15554.0,Petrol,,,,4.0,0.0,34380,21292.033,13087.967,13087.967
46805,Škoda,Karoq,2019.0,Automatic,1979.0,Petrol,145.0,20.71,1.5,3.0,0.0,22995,36006.246,-13011.25,13011.25
42182,Mercedes-Benz,A-Class,2020.0,Semi-Auto,500.0,Petrol,145.0,,2.0,1.0,0.0,44995,32143.152,12851.848,12851.848
36333,Mercedes-Benz,C-Class,2019.0,Automatic,1414.0,Diesel,,,2.0,2.0,0.0,44160,31349.262,12810.738,12810.738
37010,Mercedes-Benz,C-Class,2019.0,Semi-Auto,7351.0,,,,3.0,2.0,0.0,43049,30252.898,12796.102,12796.102
46211,Mercedes-Benz,C-Class,2017.0,Automatic,22214.0,Petrol,,,2.0,1.0,0.0,16402,29156.236,-12754.236,12754.236
43082,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2547.0,Petrol,,,3.724,0.0,0.0,25699,38435.383,-12736.383,12736.383
40301,Mercedes-Benz,A-Class,2017.0,Automatic,439.0,Petrol,145.0,24.8,4.0,1.0,0.0,100124,87431.57,12692.43,12692.43
5129,Audi,Q5,2020.0,Automatic,1500.0,Petrol,135.0,,,3.0,0.0,49790,37112.996,12677.004,12677.004
42778,Mercedes-Benz,GLE-Class,2018.0,Automatic,16592.0,Petrol,145.0,23.7,5.5,4.0,0.0,66974,54315.324,12658.676,12658.676
42193,Mercedes-Benz,,2019.0,Automatic,8974.0,Diesel,265.0,35.8,2.3,3.0,0.0,22995,35557.914,-12562.914,12562.914
36894,Mercedes-Benz,,2019.0,Semi-Auto,164.0,Petrol,145.0,,2.0,0.0,0.0,45799,33286.863,12512.137,12512.137
35059,Mercedes-Benz,A-Class,2019.0,,16.0,Petrol,145.0,28.5,2.0,0.0,0.0,26980,39490.586,-12510.582,12510.582
8651,BMW,X5,2014.0,Automatic,28056.0,Petrol,555.0,26.9,4.4,2.0,0.0,27498,39900.586,-12402.586,12402.586
28245,Ford,Focus,2018.0,Manual,13847.0,Petrol,145.0,58.9,1.0,4.0,0.0,25998,13599.492,12398.508,12398.508
35997,Mercedes-Benz,C-Class,2019.0,Semi-Auto,7749.0,Petrol,,,,4.0,0.0,40749,28376.566,12372.434,12372.434
36821,Mercedes-Benz,C-Class,2019.0,Automatic,7226.0,Diesel,,,2.0,1.0,0.0,41870,29502.152,12367.848,12367.848
36026,Mercedes-Benz,C-Class,2016.0,Automatic,18900.0,Petrol,,,,0.0,0.0,35991,23672.418,12318.582,12318.582
44180,Mercedes-Benz,C-Class,2019.0,Automatic,1414.0,Diesel,145.0,55.4,2.0,2.0,0.0,44160,31853.41,12306.59,12306.59
7272,Audi,Q7,2019.0,Semi-Auto,6227.0,Diesel,145.0,33.2,3.0,3.0,0.0,59950,47736.914,12213.082,12213.082
485,Audi,Q5,2019.0,Automatic,10000.0,,135.0,,2.0,4.0,0.0,45490,33432.883,12057.117,12057.117
