carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
30291,Mercedes-Benz,G-Class,2015.0,Semi-Auto,10000.0,Petrol,570.0,20.5,5.5,3.0,0.0,99850,71728.47,28121.531,28121.531
2002,Audi,Q7,2019.0,Automatic,7999.0,Diesel,145.0,33.2,3.0,1.0,0.0,68000,47055.402,20944.598,20944.598
32243,Mercedes-Benz,G-Class,2016.0,Automatic,4000.0,Petrol,325.0,30.1,4.0,4.0,0.0,73948,93975.14,-20027.141,20027.141
52120,BMW,,2019.0,Semi-Auto,10.0,Diesel,145.0,31.4,3.0,1.0,0.0,76970,57263.15,19706.852,19706.852
4950,Audi,Q8,2019.0,Semi-Auto,6000.0,Diesel,145.0,32.8,3.0,1.0,0.0,76990,57507.72,19482.281,19482.281
20507,Audi,Q8,2019.0,Automatic,3011.0,Diesel,145.0,32.8,3.0,4.0,0.0,77888,58440.77,19447.23,19447.23
73137,Audi,Q7,2019.0,Automatic,5000.0,Diesel,145.0,33.2,3.0,2.0,0.0,66000,47218.914,18781.086,18781.086
37512,Mercedes-Benz,C-Class,2017.0,Automatic,29645.0,Petrol,,,3.724,2.0,0.0,17488,36091.445,-18603.445,18603.445
71222,Audi,,2019.0,Automatic,5800.0,Diesel,145.0,30.7,4.0,2.0,0.0,89750,72113.89,17636.109,17636.109
56295,Audi,,2020.0,Semi-Auto,,Petrol,145.0,28.8,2.9,3.0,0.0,69995,52889.89,17105.109,17105.109
32649,Audi,Q7,2016.0,Automatic,36461.0,Diesel,0.0,,3.0,3.0,0.0,37999,20970.943,17028.057,17028.057
5572,Mercedes-Benz,GLE-Class,2018.0,Automatic,5234.0,Petrol,145.0,23.9,5.5,0.0,0.0,55376,72391.28,-17015.281,17015.281
73087,Mercedes-Benz,,2018.0,Automatic,28300.0,,145.0,30.1,4.0,0.0,0.0,63990,47328.086,16661.918,16661.918
27809,Opel,,2019.0,Automatic,1208.0,Petrol,145.0,43.5,1.2,1.0,0.0,28995,13541.147,15453.853,15453.853
33920,Mercedes-Benz,,2017.0,Semi-Auto,15000.0,Petrol,,,4.0,0.0,0.0,48999,33895.805,15103.195,15103.195
20439,Mercedes-Benz,,2019.0,Semi-Auto,9.0,Petrol,150.0,33.2,2.0,4.0,0.0,54980,39976.113,15003.887,15003.887
26889,Mercedes-Benz,V-Class,2019.0,Automatic,500.0,Diesel,145.0,38.2,2.1,,0.0,27000,41997.223,-14997.223,14997.223
40565,Volkswagen,Touareg,2019.0,Semi-Auto,9950.0,Diesel,150.0,34.0,3.0,1.0,0.0,59990,45085.01,14904.988,14904.988
37262,Mercedes-Benz,,2019.0,Semi-Auto,164.0,Petrol,145.0,,2.0,0.0,0.0,45799,31044.805,14754.195,14754.195
6624,Volkswagen,Touareg,2018.0,Automatic,10000.0,Diesel,145.0,34.0,3.0,4.0,0.0,57295,42646.934,14648.066,14648.066
33866,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,3.0,0.0,89900,75798.945,14101.055,14101.055
75487,Mercedes-Benz,C-Class,2016.0,Automatic,18900.0,Petrol,,,,0.0,0.0,35991,22235.027,13755.973,13755.973
66576,Mercedes-Benz,G-Class,2020.0,Automatic,3000.0,Petrol,150.0,21.4,4.0,1.0,0.0,154998,141375.78,13622.219,13622.219
49423,Ford,Focus,2009.0,Manual,44482.0,Petrol,330.0,30.1,2.5,0.0,0.0,21500,7994.278,13505.722,13505.722
73731,Mercedes-Benz,C-Class,2016.0,Semi-Auto,15554.0,Petrol,,,,4.0,0.0,34380,20943.24,13436.76,13436.76
61730,Mercedes-Benz,C-Class,2019.0,Automatic,17009.0,Diesel,145.0,61.4,2.0,0.0,0.0,36350,22967.26,13382.74,13382.74
61643,Audi,,2017.0,,22558.0,Petrol,145.0,29.4,4.0,4.0,0.0,61700,48360.254,13339.746,13339.746
32431,Mercedes-Benz,,2017.0,Semi-Auto,6200.0,Diesel,150.0,52.3,3.0,0.0,0.0,40990,27729.043,13260.959,13260.959
12273,Volkswagen,Amarok,2020.0,Automatic,10.0,Diesel,260.0,28.3,3.0,3.0,0.0,37000,50062.49,-13062.488,13062.488
5124,Mercedes-Benz,V-Class,2019.0,Automatic,10.0,Diesel,145.0,45.6,2.2,4.0,0.0,50640,37691.637,12948.363,12948.363
17615,Mercedes-Benz,V-Class,2019.0,Automatic,500.0,Diesel,145.0,38.2,2.1,4.0,0.0,27000,39841.883,-12841.883,12841.883
43978,Mercedes-Benz,C-Class,2019.0,Automatic,7226.0,Diesel,,,2.0,1.0,0.0,41870,29046.123,12823.877,12823.877
27755,Mercedes-Benz,C-Class,2019.0,Automatic,1414.0,Diesel,,,2.0,2.0,0.0,44160,31431.9,12728.1,12728.1
72019,Audi,Q7,2019.0,Semi-Auto,4959.0,Diesel,145.0,44.1,3.0,3.0,0.0,55490,42788.246,12701.754,12701.754
56335,Mercedes-Benz,E-Class,2019.0,Automatic,101.0,Diesel,145.0,47.1,,3.0,0.0,47300,34616.09,12683.91,12683.91
64991,Mercedes-Benz,C-Class,2019.0,Automatic,17009.0,Diesel,,,2.0,2.0,0.0,36350,23695.537,12654.463,12654.463
68695,Mercedes-Benz,C-Class,2017.0,Semi-Auto,11018.0,Petrol,145.0,32.8,,4.0,0.0,45480,32883.68,12596.32,12596.32
25119,Ford,Focus,2018.0,Manual,13847.0,Petrol,145.0,58.9,1.0,4.0,0.0,25998,13412.438,12585.562,12585.562
