carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,42.0,3.0,0.0,123456,36399.95,87056.051,87056.051
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,64.0,0.0,0.0,140319,80166.195,60152.805,60152.805
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,37.0,4.0,0.0,139559,87486.336,52072.664,52072.664
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,86.0,1.0,0.0,91874,47444.676,44429.324,44429.324
44942,Mercedes-Benz,S-Class,2019.0,Semi-Auto,4688.0,Petrol,326.028,31.7,4.0,42.0,1.0,0.0,109995,67918.46,42076.539,42076.539
44363,Mercedes-Benz,A-Class,2019.0,Semi-Auto,4215.0,Petrol,145.0,28.5,2.0,33.0,4.0,0.0,25099,62308.473,-37209.473,37209.473
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,99.0,0.0,0.0,67199,33465.46,33733.539,33733.539
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,151.042,4.4,60.0,3.0,0.0,89900,56765.523,33134.477,33134.477
3320,Audi,TT,2017.0,Manual,14000.0,Petrol,145.0,47.1,3.739,71.0,2.0,0.0,17490,47620.297,-30130.297,30130.297
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,58.0,1.0,0.0,59740,29900.725,29839.275,29839.275
41524,Mercedes-Benz,A-Class,2019.0,Semi-Auto,4309.0,Petrol,145.0,9.429,2.0,47.0,2.0,0.0,31980,56678.26,-24698.262,24698.262
38192,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,452.0,Diesel,145.0,100.999,3.0,77.0,3.0,0.0,71991,47692.984,24298.016,24298.016
37836,Mercedes-Benz,C-Class,2018.0,Semi-Auto,3891.0,Petrol,,,3.724,75.0,1.0,0.0,19980,44218.742,-24238.742,24238.742
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,93.0,3.0,0.0,71990,48611.645,23378.355,23378.355
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,91.0,3.0,0.0,54995,33569.73,21425.27,21425.27
8139,BMW,2 Series,2015.0,Semi-Auto,29809.0,Diesel,20.0,68.9,2.0,35.0,4.0,0.0,14998,35157.902,-20159.902,20159.902
12254,BMW,2 Series,2015.0,Semi-Auto,27494.0,Diesel,20.0,68.9,2.0,54.0,3.0,0.0,11837,31665.307,-19828.307,19828.307
43082,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2547.0,Petrol,,,3.724,99.0,0.0,0.0,25699,45053.367,-19354.367,19354.367
22326,Ford,Focus,2017.0,Manual,,Diesel,-45.781,,1.5,69.0,3.0,0.0,38015,18968.84,19046.16,19046.16
44692,Mercedes-Benz,C-Class,2019.0,Automatic,1090.0,Petrol,145.0,44.1,3.724,86.0,0.0,0.0,25950,44518.297,-18568.297,18568.297
41207,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,145.0,28.0,4.0,60.0,0.0,0.0,88995,70679.11,18315.891,18315.891
12379,BMW,X6,2020.0,Semi-Auto,9710.0,Diesel,,,3.0,54.0,2.0,0.0,55890,38023.56,17866.441,17866.441
43804,Mercedes-Benz,C-Class,2017.0,Automatic,29645.0,Petrol,,,3.724,58.0,2.0,0.0,17488,35145.38,-17657.379,17657.379
55432,Toyota,Hilux,2016.0,Manual,52689.0,Diesel,260.0,38.7,2.5,94.0,,0.0,29990,12742.434,17247.566,17247.566
27156,Ford, Edg,2017.0,Manual,45386.0,Diesel,160.0,48.7,2.0,44.0,2.0,0.0,17000,8.587,16991.413,16991.413
34033,Hyundai,Tucson,2017.0,Other,25915.0,Petrol,145.0,39.8,1.6,72.0,4.0,0.0,16995,8.587,16986.413,16986.413
50625,Škoda,Karoq,2019.0,Automatic,1470.0,Petrol,150.0,40.9,1.5,75.0,1.0,0.0,22990,39627.043,-16637.043,16637.043
4924,Audi,A4,2020.0,Automatic,5500.0,Petrol,145.0,35.3,2.0,37.0,1.0,0.0,47990,31694.451,16295.549,16295.549
13991,BMW,2 Series,2015.0,Semi-Auto,25180.0,Diesel,20.0,68.9,2.0,53.0,3.0,0.0,15500,31595.03,-16095.029,16095.029
47325,Škoda,Scala,2019.0,Other,3500.0,Petrol,145.0,47.1,1.0,36.0,1.0,0.0,15999,8.587,15990.413,15990.413
16306,Ford,Mondeo,2016.0,Automatic,9396.0,Electric,0.0,67.3,2.0,59.0,3.0,0.0,15975,8.587,15966.413,15966.413
34832,Mercedes-Benz,C-Class,2018.0,Semi-Auto,5659.0,Petrol,145.0,40.4,3.724,93.0,0.0,0.0,23498,38897.01,-15399.012,15399.012
45276,Mercedes-Benz,C-Class,2019.0,Semi-Auto,10939.0,Petrol,,,3.724,73.0,0.0,0.0,29500,44785.613,-15285.613,15285.613
42180,Mercedes-Benz,A-Class,2020.0,Semi-Auto,1499.0,Petrol,145.0,32.8,2.0,65.0,2.0,0.0,48790,33788.414,15001.586,15001.586
46705,Mercedes-Benz,X-Class,2020.0,Automatic,2950.0,Diesel,260.0,31.4,3.0,73.0,4.0,0.0,46000,31083.28,14916.721,14916.721
70660,Volkswagen,Touareg,2018.0,Automatic,10000.0,Diesel,145.0,34.0,3.0,81.0,4.0,0.0,57295,42411.14,14883.859,14883.859
36887,Mercedes-Benz,C-Class,2020.0,Semi-Auto,,Petrol,145.0,,,92.0,0.0,0.0,44995,30457.688,14537.312,14537.312
14993,BMW,2 Series,2015.0,Semi-Auto,51719.0,Diesel,20.0,68.9,2.0,55.0,2.0,0.0,10998,25503.635,-14505.635,14505.635
9969,BMW,M2,2019.0,Semi-Auto,1287.0,Petrol,145.0,,3.0,96.0,1.0,0.0,45980,31527.379,14452.621,14452.621
7697,BMW,X3,2024.122,Automatic,95000.0,Diesel,260.0,42.2,2.0,3.14,0.0,0.0,7495,21792.377,-14297.375,14297.375
35618,Mercedes-Benz,C-Class,2019.0,Semi-Auto,,Diesel,,,,47.0,1.0,0.0,38289,24049.08,14239.92,14239.92
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,78.0,4.0,0.0,149948,135745.61,14202.391,14202.391
42646,Mercedes-Benz,C-Class,2019.0,Semi-Auto,3398.0,Petrol,145.0,27.2,,57.0,2.0,0.0,65000,50872.867,14127.133,14127.133
68546,Volkswagen,Touareg,2019.0,Semi-Auto,,Petrol,145.0,25.5,3.0,56.0,0.0,0.0,59995,45929.906,14065.094,14065.094
36183,Mercedes-Benz,A-Class,2019.0,Semi-Auto,4772.0,Petrol,145.0,28.5,2.0,46.0,,0.0,24000,37959.875,-13959.875,13959.875
41243,Mercedes-Benz,,2020.0,Automatic,6000.0,Petrol,145.0,35.3,2.0,40.0,1.0,0.0,43900,29942.742,13957.258,13957.258
45540,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,,,4.0,46.0,2.0,0.0,88995,75048.43,13946.57,13946.57
71404,Volkswagen,Touareg,2019.0,Semi-Auto,9950.0,Diesel,150.0,34.0,3.0,98.0,1.0,0.0,59990,46145.266,13844.734,13844.734
42863,Mercedes-Benz,E-Class,2020.0,Semi-Auto,200.0,Petrol,,31.7,3.0,48.0,3.0,0.0,65995,52251.39,13743.609,13743.609
8859,BMW,8 Series,2019.0,Semi-Auto,7903.0,Diesel,145.0,38.2,3.0,51.0,1.0,0.0,67898,54317.69,13580.309,13580.309
36096,Mercedes-Benz,A-Class,2019.0,Semi-Auto,16.0,Petrol,145.0,28.5,2.0,69.0,1.0,0.0,26980,40285.484,-13305.484,13305.484
4703,,,2019.0,Automatic,10.0,Petrol,,30.4,2.9,54.0,1.0,0.0,51990,38688.46,13301.539,13301.539
13807,,1 Series,2019.0,Semi-Auto,2195.0,Petrol,145.0,34.5,2.0,77.0,3.0,,38555,25545.615,13009.385,13009.385
40311,Mercedes-Benz,SLK-Class,2015.0,Other,39000.0,Diesel,150.0,56.5,2.1,81.0,4.0,0.0,12995,8.587,12986.413,12986.413
28245,Ford,Focus,2018.0,Manual,13847.0,Petrol,145.0,58.9,1.0,51.0,4.0,0.0,25998,13251.438,12746.562,12746.562
15120,Ford,Focus,2017.0,Manual,197.0,Diesel,145.0,,1.5,55.0,1.0,0.0,38015,25285.74,12729.26,12729.26
30156,Ford,Kuga,2017.0,Manual,13988.0,Diesel,,64.2,1.5,82.0,2.0,,29495,16773.178,12721.822,12721.822
12352,BMW,M3,2018.0,Semi-Auto,12879.0,Petrol,150.0,-43.422,3.0,59.0,1.0,0.0,43990,31430.223,12559.777,12559.777
70996,Volkswagen,,2019.0,Automatic,,Petrol,145.0,,2.0,67.0,1.0,0.0,32850,20378.693,12471.307,12471.307
42481,Mercedes-Benz,V-Class,2019.0,Automatic,1253.0,Diesel,145.0,36.2,2.0,55.0,2.0,0.0,58800,46342.684,12457.316,12457.316
36775,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,28.5,2.0,59.0,,0.0,24669,37101.707,-12432.707,12432.707
38507,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1120.0,Petrol,145.0,35.3,0.307,51.0,1.0,0.0,36432,24123.7,12308.301,12308.301
42182,Mercedes-Benz,A-Class,2020.0,Semi-Auto,500.0,Petrol,145.0,,2.0,83.0,1.0,0.0,44995,32712.766,12282.234,12282.234
14289,BMW,1 Series,2019.0,Semi-Auto,4493.0,Petrol,145.0,,2.0,66.0,4.0,0.0,32000,19773.008,12226.992,12226.992
36333,Mercedes-Benz,C-Class,2019.0,Automatic,1414.0,Diesel,,,2.0,79.0,2.0,0.0,44160,31949.264,12210.736,12210.736
12175,BMW,X6,2019.0,Semi-Auto,2018.0,Petrol,145.0,26.4,3.0,40.0,1.0,0.0,58480,70649.04,-12169.039,12169.039
36551,Mercedes-Benz,GLE-Class,2019.0,Semi-Auto,1493.0,Petrol,145.0,23.7,5.5,69.0,0.0,0.0,87459,75300.82,12158.18,12158.18
3453,Audi,A8,2019.0,Automatic,16584.0,Petrol,145.0,37.7,3.0,78.0,2.0,0.0,33992,46128.812,-12136.812,12136.812
47509,Škoda,Karoq,2019.0,Automatic,3091.0,Petrol,150.0,40.9,1.5,95.0,2.0,0.0,23490,35580.12,-12090.121,12090.121
9562,BMW,3 Series,2020.0,Semi-Auto,160.0,,145.0,49.6,2.0,59.0,4.0,0.0,44320,32263.912,12056.088,12056.088
