carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,42.0,3.0,0.0,123456.0,15091.612,108364.3876953125,108364.3876953125
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,64.0,0.0,0.0,140319.0,33072.336,107246.6640625,107246.6640625
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,37.0,4.0,0.0,139559.0,37365.332,102193.66796875,102193.66796875
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,78.0,4.0,0.0,149948.0,47983.03,101964.96875,101964.96875
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,86.0,1.0,0.0,91874.0,25383.969,66490.03125,66490.03125
38485,Mercedes-Benz,G-Class,2020.0,Semi-Auto,1350.0,Petrol,145.0,21.4,4.0,99.0,1.0,0.0,159999.0,209013.97,-49014.96875,49014.96875
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,60.0,3.0,0.0,89900.0,43521.656,46378.34375,46378.34375
36265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,30.1,4.0,81.0,2.0,0.0,115359.0,72897.695,42461.3046875,42461.3046875
35363,Mercedes-Benz,A-Class,2019.0,Semi-Auto,880.0,Petrol,145.0,24.8,4.0,41.0,4.0,0.0,124366.0,83504.625,40861.375,40861.375
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,58.0,1.0,0.0,59740.0,19489.207,40250.79296875,40250.79296875
430,Audi,Q8,2020.0,Semi-Auto,95204.18167360188,Diesel,145.0,30.7,4.0,44.0,1.0,0.0,86995.0,47144.055,39850.9453125,39850.9453125
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,99.0,0.0,0.0,67199.0,27895.688,39303.3125,39303.3125
36451,Mercedes-Benz,A-Class,,Automatic,637.0,Petrol,145.0,24.8,4.0,52.0,,0.0,125796.0,87099.66,38696.34375,38696.34375
