carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,42.0,3.0,0.0,123456.0,16716.092,106739.908203125,106739.908203125
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,64.0,0.0,0.0,140319.0,50279.938,90039.0625,90039.0625
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,37.0,4.0,0.0,139559.0,49594.008,89964.9921875,89964.9921875
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,86.0,1.0,0.0,91874.0,30085.633,61788.3671875,61788.3671875
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,78.0,4.0,0.0,149948.0,91873.67,58074.328125,58074.328125
44942,Mercedes-Benz,S-Class,2019.0,Semi-Auto,4688.0,Petrol,326.028233171514,31.7,4.0,42.0,1.0,0.0,109995.0,54220.57,55774.4296875,55774.4296875
35769,Mercedes-Benz,M-Class,1970.0,Automatic,14000.0,Diesel,305.0,39.2,,44.0,3.0,0.0,24999.0,79847.59,-54848.59375,54848.59375
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,60.0,3.0,0.0,89900.0,48927.38,40972.62109375,40972.62109375
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,58.0,1.0,0.0,59740.0,23403.85,36336.150390625,36336.150390625
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,99.0,0.0,0.0,67199.0,31578.752,35620.248046875,35620.248046875
38192,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,452.0,Diesel,145.0,,3.0,77.0,3.0,0.0,71991.0,39094.844,32896.15625,32896.15625
22719,Ford,,,Manual,11000.0,Petrol,,,2.3,49.0,3.0,0.0,54995.0,25246.328,29748.671875,29748.671875
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,93.0,3.0,0.0,71990.0,44590.836,27399.1640625,27399.1640625
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,91.0,3.0,0.0,54995.0,27706.457,27288.54296875,27288.54296875
36451,Mercedes-Benz,A-Class,,Automatic,637.0,Petrol,145.0,24.8,4.0,52.0,,0.0,125796.0,100528.32,25267.6796875,25267.6796875
22326,Ford,Focus,2017.0,Manual,,Diesel,,,1.5,69.0,3.0,0.0,38015.0,13112.414,24902.5859375,24902.5859375
