carID,price
22856,17970.0
45294,11724.0
68602,7990.0
68442,11498.0
58609,14578.0
41397,17800.0
1012,17975.0
41249,17789.0
51237,13901.0
42989,21995.0
47388,26999.0
852,24700.0
51123,19398.0
24015,9995.0
44441,14549.0
4216,23229.0
47942,15770.0
30107,8500.0
7145,21500.0
11866,42650.0
4130,21990.0
4371,9499.0
2380,13999.0
65994,24790.0
61949,13550.0
18817,14000.0
62483,8791.0
22597,11995.0
55359,12495.0
8246,15499.0
45612,22402.0
51425,11270.0
33766,9835.0
57734,15298.0
52887,17480.0
44688,14600.0
9061,36850.0
13586,20450.0
11967,31980.0
23543,14698.0
70808,26790.0
55441,26490.0
16806,2500.0
58307,6391.0
74984,21498.0
59436,11382.0
9520,9698.0
26500,2275.0
57932,7860.0
41128,7995.0
49135,17000.0
14255,9490.0
22226,2645.0
24306,14555.0
5480,19500.0
1948,11500.0
14633,29995.0
23990,10600.0
70032,31890.0
23261,15995.0
52618,8000.0
67917,26491.0
22332,6990.0
62079,14000.0
56300,13500.0
69919,12980.0
70485,17998.0
46528,31899.0
24935,1495.0
34695,11800.0
38046,16995.0
6005,16012.0
70802,9999.0
75611,21498.0
58429,7591.0
62521,16995.0
51352,9698.0
13985,18440.0
48130,16490.0
74418,15480.0
72075,7875.0
24568,9950.0
65323,4998.0
14514,26498.0
57031,12498.0
36100,14491.0
73656,18395.0
68078,14790.0
72620,24990.0
25589,6990.0
9954,16498.0
30489,14970.0
23249,10000.0
1503,9312.0
37986,40000.0
51851,22995.0
11002,34995.0
20231,11999.0
73535,15999.0
4864,19995.0
51195,16790.0
43975,23498.0
69926,13741.0
46639,18998.0
64259,13998.0
62625,9495.0
7971,36993.0
70140,13940.0
13664,21380.0
11631,22895.0
64728,10298.0
2854,16950.0
46436,19985.0
29166,16499.0
1458,10500.0
6377,11499.0
60528,8995.0
71604,28500.0
51081,14400.0
63609,10795.0
64325,13989.0
72782,8391.0
46012,149948.0
27652,13495.0
73952,16990.0
66282,8540.0
43495,51500.0
14985,38975.0
15204,15440.0
22442,7990.0
23226,5988.0
2285,12695.0
29801,15888.0
44876,24750.0
23291,7240.0
69849,26990.0
24805,6797.0
61767,5975.0
2903,31990.0
61498,6208.0
9177,26496.0
59196,12298.0
48808,26995.0
46873,14995.0
36049,21400.0
3987,28990.0
74896,19250.0
2538,16500.0
67040,7800.0
30744,12998.0
38725,22792.0
74145,11790.0
44119,29480.0
27016,16199.0
22638,9995.0
66199,19999.0
55717,12998.0
27400,7191.0
42125,18975.0
5656,25990.0
32305,10995.0
9481,12990.0
65485,42999.0
16026,17440.0
27089,9600.0
37857,22250.0
17037,10700.0
44513,23495.0
69128,30490.0
17798,7000.0
1937,16798.0
67234,22798.0
8887,34990.0
18978,11900.0
16246,7900.0
7477,19490.0
4273,20990.0
6681,16222.0
22522,9490.0
32168,17495.0
3731,13490.0
43230,16290.0
25556,17800.0
37605,22661.0
32657,13500.0
70778,10500.0
33634,10775.0
53684,2695.0
6395,18990.0
19732,11499.0
56377,14994.0
62353,6621.0
10603,16900.0
61278,10798.0
72310,25300.0
4254,21000.0
24182,21450.0
33575,8300.0
1109,16998.0
62365,10308.0
4119,17000.0
19213,14179.0
764,44999.0
