carID,model,Brand,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,mpg_diff_transmission,car_age,efficiency_ratio,mileage_per_year,first_owner_flag
22856,Focus,Ford,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.07150517695877477,0.043478260869565216,-0.8853503184713377,0.4999999999999999,0.4,1.0,0.0,-1.0062111801242237,-0.3333333333333333,-0.6752876851675252,0.42922435896841293,0.0
45294,A-Class,Mercedes-Benz,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3333333333333333,1.4880173200092213,-1.2608695652173914,0.8598726114649689,-0.1250000000000001,-0.5428571428571428,1.0,0.0,0.6956521739130436,0.3333333333333333,0.6174615536765072,1.1888882400279035,0.0
68602,Polo,Volkswagen,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.3333333333333333,0.7408914592709158,-1.0869565217391304,0.29936305732484103,-0.7500000000000001,-0.17142857142857143,0.0,0.0,0.14906832298136635,0.3333333333333333,1.2595955100628,0.35586155841349504,0.0
68442,Golf,Volkswagen,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.226683639206567,-1.0869565217391304,0.7579617834394906,0.4999999999999999,-0.6857142857142857,0.5,0.0,0.5962732919254654,1.0,0.0063407294381925055,0.9424278060183663,0.0
58609,Astra,Opel,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,-0.3887580310517295,0.0,-0.47770700636942687,-0.2500000000000002,0.7428571428571429,-1.0,0.0,-0.6086956521739133,-0.6666666666666666,0.0,0.044099844596722844,1.0
41397,C-Class,Mercedes-Benz,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42383906824765205,0.0,-0.31847133757961793,0.4999999999999999,0.5142857142857142,0.0,0.0,-0.18012422360248437,0.0,-0.440152301834545,0.4067240823043755,0.0
1012,A6,Audi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333333,1.304192685102587,-1.0,0.3821656050955415,0.4999999999999999,0.5142857142857142,0.5,0.0,0.6211180124223602,0.3333333333333333,-0.1495355359173785,0.9839283615625393,0.0
41249,C-Class,Mercedes-Benz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8261584259639767,-0.17391304347826086,0.3821656050955415,0.625,-0.7714285714285715,-0.5,0.0,0.6211180124223602,0.0,-0.22327053355090765,2.474646468995936,0.0
51237,Auris,Toyota,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3220840140725075,-1.2608695652173914,1.471337579617835,0.24999999999999994,-0.22857142857142856,1.0,0.0,1.565217391304348,0.0,0.5205516387021552,0.25667156157866466,0.0
42989,A-Class,Mercedes-Benz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,-0.37480580140123687,0.0,0.07006369426751603,0.4999999999999999,0.8571428571428571,0.0,0.0,0.31677018633540377,-0.6666666666666666,-0.2789920952804799,0.10208274428828258,0.0
47388,Superb,Škoda,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,-0.4803696539005102,0.0,-1.0955414012738853,0.4999999999999999,-0.7142857142857143,0.0,0.0,-0.9378881987577635,-0.6666666666666666,-0.7624727149426752,-0.3366212065389499,0.0
852,A5,Audi,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-0.1263919654401668,0.0,0.5605095541401278,0.4999999999999999,0.37142857142857144,-1.0,0.0,0.40372670807453415,-0.3333333333333333,-0.07556035913846323,-0.0015692263699737126,1.0
51123,Hilux,Toyota,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.018823482243983603,1.0434782608695652,-0.9554140127388537,0.9999999999999998,1.0,0.5,0.0,-1.0745341614906834,-0.3333333333333333,-0.875126341294566,0.3145438948001311,0.0
24015,Focus,Ford,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.3333333333333333,0.18641060850564806,-1.0,-0.07006369426751603,-0.7500000000000001,0.6857142857142857,0.0,0.0,-0.21118012422360283,0.3333333333333333,0.9670573109825448,-0.2623707467502976,0.0
